title,description,salary,full_time,company_id
Software Quality Engineer - is,"As Software Quality Engineer you will be responsible for the design and development of applications and tests that validate software for the Health Software team. This includes is and watches reference applications, XC/XCUI Tests, integration tests, and system-level tests for new and existing APIs in the Health software stack.",80000,TRUE,1
Search Infrastructure Engineer,"You will be working closely with the data, search relevance and analytics teams to develop new features and ensuring our customers have the best search experience. You will be working on high performance and highly available search systems using Lucene, Java in Linux environments. You will participate in design and code reviews and work with engineers and QA to deliver high quality search experience to our customers.",70000,TRUE,1
Senior UX/UI Designer,"As the designer in AI group, you will take the lead in crafting the Machine Learning platform that Apple uses for developing ML applications, define the best practices of building intelligent experiences on Apple Devices, and help product teams to make that happen.",90000,TRUE,1
Siri - Sr. is Engineer,"Siri's ability to answer your requests is enabled by speedy and efficient delivery of customer behavior data from customers devices to our services and storage systems. Customer behavior data enables machine learning systems and strategic decision making. In this role, you will work on the client frameworks and protocol for logging behavioral data, invent novel mechanisms for data storage and representation, identify inefficiencies and architect solutions for sending behavioral data from hundreds of millions of devices to the Siri service.",11000,TRUE,1
3D Application Engineer,"You will work on the first-party applications and system services that define the overall experience of our platforms - ultimately impacting the way our customers use our products. 
You will work closely with Apple's UI framework, human interface designers and system capabilities teams - pushing you to think outside-the-box, and solve incredibly challenging and interesting problems in the 3D application space.",55000,FALSE,1
Entry Level - Front End Developer,"As an Entry-Level Front End Developer: Have passion and experience for building responsive, elegant and engaging experiences with future friendly web technologies.  Work closely with designers to take wireframes from conception to implementation and design and improve user interfaces. Work with the IBM Design System to implement UIs. Work in JavaScript, Node.js or frameworks such as React, Vue or Angular. Are skilled in UI Development technologies such as HTML, CSS, JSON and API usage. Have an interest in, understanding of, or experience with Design Thinking Methodology. Have an interest in, understanding of, or experience with Agile development methodology",65000,TRUE,2
Software Development Engineer,"At IBM Multi-Cloud Management Platform, we have a simple goal: to enable enterprises to manage in a world that spans legacy solutions on-premise to the latest NoOps based development approaches. Our platform enables our customers to acquire, operate and manage their application lifecycle across multiple clouds and container platforms. Our engineering team works with numerous cloud and container technologies including Helm, Cloud Forms, Cloud Formation, Deployment Manager, Resource Manager, Prometheus, Service Now, VRA, Terraform and others. ",70000,TRUE,2
Software Engineer,"The software engineer will provide support to the NGA mission with Java, Linux, Python, and other programming support. The engineer is responsible for writing JavaScript and using PostgreSQL databases. The candidate must be able to communicate effectively with other engineers, scientists, and analysts in order to meet the requirements of the customers mission sets. Most of the missions are focused on the future of NGA's GEOINT work. The NGA provides a flexible work environment and very amenable facility. ",68000,TRUE,3
Entry Level Software Engineer,"At Boeing, we are all innovators on a mission to connect, protect, explore and inspire. From the sea bed to outer space, you'll learn and grow, contributing to work that shapes the world. Find your future with us. 
The Boeing Company is seeking a Software Engineer in Fairfax, VA to join their team. ",65000,TRUE,3
Software Engineer,"Paperless Post is seeking software engineers to help build the services architecture and API gateway framework that support best-in-class discover and shopping experiences for a complex network of over 100 million users. As a key member of our growing Services team, you'll help craft new core services and iterate on existing ones in Golang. You'll work on all parts of the development cycle and in many different areas of code as part of a deeply collaborative team with a robust development process. ",90000,TRUE,4
